Crop Name,Transplant,Harvest,Growth
Aman,June,Nov to Dec,July to  Oct
Amra,June,August to September,June to August
Arhar,August,Nov,Sep to Oct
Aus,March,Aug,April to july
Banana,January,Jan,Jan to Jan
Barbati,September,December to April,Oct to Dec
Beans,June,Nov to April,July to Nov
Betelnut,July,Jan to March,Aug to Jan
Black Berry,June,June  to September,July to August
Boro,November,April,Dec to March
Boroi,February,February to March,No need to do
Cabbage,September,Feb,Oct to Jan
Carrot,October,March,Nov to Feb
Cauliflower,September,Feb,Nov to Jan
Chalkumra,March,July to Oct,April to July
Cheena,November,Feb to April,Dec to Feb
Chili,October,March to April,Nov to March
Cucumber,September,March to jun,Nov to March
Dalim,April,Throuout The year,No need to do
Danta,March,Sep,April to Aug
Danta Shak,March,Sep,April to Aug
Date Palm,April,Feb to March,No need to do
Garlic,October,Feb,Nov to Jan
Ginger,October,March to April,Nov to March
Gourd,July,Jan to March,Aug to Jan
Gram,August,Nov,Sep to Oct
Green Coconut,May,August to September,June to August
Green Palmyra,April,May,No need to do
Green Papaya,June,August to September,June to August
Groundnut,October,March to April,Nov to March
Guava,April,Throuout The year,No need to do
Jack Fruit,April,April to June,No need to do
Jambura,April,May to June,No need to do
Jamrul,June,June  to September,July to August
Jhinga,April,June to Aug,May to June
Jute,March,Sep,April to Aug
Kakrol,April,July to Sep,May to July
Karala,February,Aug to Sep,March to July
Kolmi Shak,March,Sep to Oct,April to Aug
Lady’s Finger,April,June to Sep,May to June
Lal Shak,September,Nov to Feb,Oct to Nov
Laushak,September,Nov to Feb,Oct to Nov
Lemon,January,Jan,Jan to Jan
Lentil,October,Feb to March,Nov  to  Feb
Maize 1,March,June to July,April to May
Maize 2,December,April,Jan  to  March
Malta,June,August to September,June to August
Mango,April,April to June,No need to do
Mashkalai,August,Nov,Sep to Oct
Motor,October,March to April,Nov to March
Mug,February,May,March to May
Mukhi Kachu,April,Sep to Feb,May to Sep
Oal Kachu,September,Dec to Feb,Oct to Dec
Onion,October,March to April,Nov to March
Palmyra Palm,September,Nov to Feb,Oct to Nov
Palong Shak,August,Feb,Sep to Jan
Patal,August,Jan to March,Sep to Jan
Pineapple,September,June to Aug,Sep to May
Puishak,August,Feb,Sep to Jan
Pumpkin,September,Nov to Feb,Oct to Nov
Radish,October,March,Nov to Feb
Rape & Mustard,October,Feb to April,Nov to Feb
Ripe Papaya,April,April to May,No need to do
Safeda,April,Jan to March,No need to do
Sesame,November,Feb,Dec to Jan
Shalgom,September,Nov to Feb,Oct to Nov
Sugarcane,October,Aug to Sep,Nov to Aug
Sweet Potato,November,April,Dec to March
Taramind,February,February to May,March to April
Tobacco,October,Feb to April,Nov to Feb
Wheat,December,April,Jan  to  March
Wood Apple,May,August to September,June to August
